Top Genes	ID	M	A	t	P.Value
8338	1566555_at	-0.24918372	4.905832113	-3.034013801	0.008599934
9593	1570033_at	0.442055847	5.352190588	3.033557443	0.008607848
27552	218266_s_at	-0.327331923	6.656235959	-3.033368418	0.008611128
49768	240518_at	0.386974882	4.752884552	3.031982415	0.008635217
29740	220455_at	-0.504168867	5.669165646	-3.029997225	0.008669835
51755	242505_at	0.279381552	7.865750509	3.029749582	0.008674163
14251	204803_s_at	-0.442899059	6.976870028	-3.029547974	0.008677688
50717	241467_at	-0.438812654	8.331677347	-3.028475347	0.008696466
20872	211546_x_at	-0.568535382	7.258099963	-3.026552878	0.008730223
29860	220575_at	0.396144449	4.996551423	3.025855701	0.008742497
6760	1562703_at	0.266988084	4.945490043	3.024397724	0.008768219
16431	206984_s_at	0.284866287	5.003776959	3.023700097	0.008780553
45997	236747_at	-0.364412852	6.11368807	-3.023105706	0.008791076
25930	216639_at	0.343320038	4.426984192	3.023103736	0.008791111
15287	205839_s_at	-0.32384075	7.686467394	-3.021554462	0.008818596
26449	217161_x_at	-0.411422382	5.805263549	-3.020108448	0.008844325
14194	204746_s_at	-0.523727838	7.458189843	-3.019333688	0.008858142
53380	244129_at	0.339815572	5.117651127	3.017599508	0.008889144
10562	201113_at	0.268893465	5.686804598	3.016794244	0.008903576
23205	213905_x_at	-0.249533972	7.758856824	-3.016291284	0.008912602
53888	244637_at	-0.338655052	4.865463977	-3.015664666	0.00892386
38781	229526_at	0.454461478	5.806055066	3.014915739	0.008937333
18835	209421_at	0.239645931	5.197884828	3.014775121	0.008939865
54263	37022_at	0.268824817	8.133263959	3.014421209	0.008946241
22997	213696_s_at	-0.530668404	6.022124179	-3.014216638	0.008949928
30653	221369_at	0.310643183	5.155189313	3.013759121	0.00895818
1365	1554155_at	0.309163304	4.15611713	3.013424633	0.008964218
38108	228853_at	0.214965701	3.925401063	3.013203691	0.008968209
17617	208190_s_at	-0.285934307	6.12624376	-3.013002535	0.008971843
43601	234350_at	-0.306723896	6.347033081	-3.012819227	0.008975157
20407	211042_x_at	0.283055245	5.818120207	3.012286503	0.008984793
31267	221986_s_at	0.259666896	4.257453069	3.008239044	0.009058338
45728	236478_at	-0.494974728	4.916172563	-3.008086349	0.009061124
43371	234120_at	-0.497528959	7.428076664	-3.007480883	0.00907218
53275	244024_at	-0.60324655	7.586253369	-3.00649253	0.009090256
37561	228306_at	0.43457805	4.89062183	3.006382326	0.009092273
29762	220477_s_at	0.340419976	5.596869683	3.005191433	0.009114106
1995	1555001_at	0.334641587	4.337091565	3.004888209	0.009119673
15847	206400_at	-0.443223921	5.448064413	-3.004737092	0.009122448
32019	222739_at	-0.275763604	4.901590307	-3.002821358	0.009157709
32835	223558_at	0.430766346	4.865142994	3.001973513	0.009173357
43975	234725_s_at	0.363329898	6.482625282	3.001900666	0.009174703
48332	239082_at	0.353094373	4.821531857	3.001381925	0.009184291
9531	1569933_at	0.329806703	7.018024532	3.000900553	0.009193197
41962	232707_at	0.353964646	5.576300367	3.000709484	0.009196735
35181	225923_at	0.414457928	5.81425113	3.000596737	0.009198823
4119	1558248_at	-0.229705423	4.425583915	-3.000032348	0.009209283
1752	1554685_a_at	0.291929246	6.109387506	2.999452616	0.009220039
39645	230390_at	-0.303431203	6.013811987	-2.999355194	0.009221847
14931	205483_s_at	-0.439899849	6.749448507	-2.998171956	0.009243843
44074	234824_at	0.417111709	5.307317567	2.9977108	0.00925243
12324	202874_s_at	0.309506481	4.523184601	2.995890318	0.009286404
32644	223366_at	-0.243583546	5.73063268	-2.995578992	0.009292226
44818	235568_at	-0.499798358	7.101947916	-2.995561175	0.00929256
21390	212083_at	0.375689973	6.17744088	2.988596263	0.009423761
6767	1562718_at	0.221099015	5.03450629	2.988485339	0.009425866
47207	237957_at	0.235889627	4.12931893	2.986449578	0.009464566
52692	243441_at	-0.213637246	6.198643357	-2.9858487	0.009476019
45796	236546_at	0.294053547	6.621241292	2.985262991	0.009487195
7351	1563781_at	0.486523032	5.997260941	2.985057361	0.009491122
44577	235327_x_at	-0.354945937	6.309535875	-2.984712208	0.009497717
27436	218150_at	0.445322574	4.601479204	2.983961974	0.009512068
8016	1565811_at	0.383882336	5.445972779	2.98390495	0.00951316
34222	224963_at	0.253046275	7.142844118	2.982925113	0.009531937
39232	229977_at	0.496941601	6.984029796	2.981421254	0.009560826
48067	238817_at	0.268316982	5.242269863	2.980770439	0.009573355
28206	218921_at	-0.321384121	6.791766214	-2.980646237	0.009575748
15784	206337_at	0.253325689	5.522980822	2.980334976	0.009581748
47572	238322_s_at	-0.396881757	7.881636393	-2.980304531	0.009582335
39933	230678_at	0.290345118	4.420083017	2.978977455	0.009607957
50158	240908_at	-0.289121418	4.601887271	-2.978812711	0.009611142
36285	227029_at	0.399315309	4.469474106	2.97865806	0.009614133
32896	223619_x_at	-0.406978328	5.436097568	-2.978167664	0.009623624
15175	205727_at	0.427396668	4.862077874	2.977602633	0.009634571
39651	230396_at	-0.328244944	7.037845468	-2.977269289	0.009641035
27220	217934_x_at	-0.438780994	6.075972713	-2.976703082	0.009652025
54125	244874_at	-0.631868145	6.320920881	-2.974975672	0.009685627
26568	217282_at	-0.326198225	4.689584673	-2.974960043	0.009685932
27384	218098_at	0.40020022	4.302609149	2.9747345	0.009690328
39685	230430_at	-0.263023367	6.943058113	-2.973869703	0.009707202
13377	203929_s_at	-0.2780836	4.648997128	-2.973327686	0.009717792
13308	203860_at	-0.231015453	4.262898809	-2.972814522	0.00972783
48201	238951_at	0.346238196	5.056846852	2.972158078	0.009740684
31462	222181_at	-0.418436373	5.607678537	-2.972015845	0.009743472
48833	239583_x_at	-0.379647977	6.465809898	-2.971732956	0.009749018
942	1553545_at	-0.326132556	5.589835913	-2.971728201	0.009749111
10207	200758_s_at	0.32685952	7.619677082	2.971199393	0.009759487
21170	211858_x_at	-0.287343954	5.071624758	-2.96954186	0.009792081
54546	61297_at	-0.306148505	7.316638032	-2.969044079	0.009801891
344	1552738_a_at	0.377515108	4.016227472	2.968648876	0.009809686
