Affy-ID	gene	chromosomal locus	expression with respect to all cases	expression with respect to cases with -7 and normal
211048_s_at	ERP70	7q35	present at least in one case	present at least in one case
201272_at	AKR1B1	7q35	present at least in one case	present at least in one case
202676_x_at	FASTK	7q35	absent in all cases	absent in all cases
205368_at	KIAA0773	7q35	absent in all cases	absent in all cases
208267_at	TRPV5	7q35	absent in all cases	absent in all cases
208525_s_at	OR2F1	7q35	absent in all cases	absent in all cases
208526_at	OR2F1	7q35	absent in all cases	absent in all cases
239315_at	FLJ40722	7q35	absent in all cases	absent in all cases
219300_s_at	CNTNAP2	7q35-q36	present at least in one case	present at least in one case
219301_s_at	CNTNAP2	7q35-q36	present at least in one case	present at least in one case
231224_x_at	PRKAG2	7q35-q36	present at least in one case	present at least in one case
219302_s_at	CNTNAP2	7q35-q36	present at least in one case	present at least in one case
202111_at	SLC4A2	7q35-q36	present at least in one case	present at least in one case
212892_at	ZNF282	7q35-q36	present at least in one case	present at least in one case
205262_at	KCNH2	7q35-q36	present at least in one case	present at least in one case
225060_at	SMARCD3	7q35-q36	present at least in one case	present at least in one case
218292_s_at	PRKAG2	7q35-q36	present at least in one case	present at least in one case
222582_at	PRKAG2	7q35-q36	present at least in one case	present at least in one case
204099_at	SMARCD3	7q35-q36	present at least in one case	present at least in one case
233748_x_at	PRKAG2	7q35-q36	present at least in one case	present at least in one case
203358_s_at	EZH2	7q35-q36	present at least in one case	present at least in one case
210036_s_at	KCNH2	7q35-q36	present at least in one case	present at least in one case
215145_s_at	CNTNAP2	7q35-q36	absent in all cases	absent in all cases
231144_at	SMARCD3	7q35-q36	absent in all cases	absent in all cases
207623_at	ABCF2	7q36	present at least in one case	absent in all cases
236275_at	KIAA1862	7q36	present at least in one case	absent in all cases
203029_s_at	PTPRN2	7q36	present at least in one case	present at least in one case
224036_s_at	C7orf2	7q36	present at least in one case	present at least in one case
224410_s_at	C7orf2	7q36	present at least in one case	present at least in one case
213409_s_at	RHEB2	7q36	present at least in one case	present at least in one case
204247_s_at	CDK5	7q36	present at least in one case	present at least in one case
207622_s_at	ABCF2	7q36	present at least in one case	present at least in one case
209247_s_at	ABCF2	7q36	present at least in one case	present at least in one case
201625_s_at	INSIG1	7q36	present at least in one case	present at least in one case
212825_at	PAXIP1L	7q36	present at least in one case	present at least in one case
201626_at	INSIG1	7q36	present at least in one case	present at least in one case
201627_s_at	INSIG1	7q36	present at least in one case	present at least in one case
222512_at	NYREN18	7q36	present at least in one case	present at least in one case
213404_s_at	RHEB2	7q36	present at least in one case	present at least in one case
201453_x_at	RHEB2	7q36	present at least in one case	present at least in one case
201451_x_at	RHEB2	7q36	absent in all cases	absent in all cases
201452_at	RHEB2	7q36	absent in all cases	absent in all cases
203030_s_at	PTPRN2	7q36	absent in all cases	absent in all cases
205581_s_at	NOS3	7q36	absent in all cases	absent in all cases
206317_s_at	ABCB8	7q36	absent in all cases	absent in all cases
207060_at	EN2	7q36	absent in all cases	absent in all cases
207586_at	SHH	7q36	absent in all cases	absent in all cases
209246_at	ABCF2	7q36	absent in all cases	absent in all cases
211534_x_at	PTPRN2	7q36	absent in all cases	absent in all cases
214232_at	ABCF2	7q36	absent in all cases	absent in all cases
222505_at	C7orf2	7q36	absent in all cases	absent in all cases
222506_at	C7orf2	7q36	absent in all cases	absent in all cases
227633_at	RHEB2	7q36	absent in all cases	absent in all cases
228815_s_at	RIP60	7q36.1	present at least in one case	present at least in one case
222501_s_at	RIP60	7q36.1	present at least in one case	present at least in one case
215353_at	IAN4L1	7q36.1	present at least in one case	present at least in one case
223153_x_at	MGC5442	7q36.1	present at least in one case	present at least in one case
235499_at	LOC155036	7q36.1	present at least in one case	present at least in one case
239083_at	DKFZp762I137	7q36.1	present at least in one case	present at least in one case
218805_at	IAN4L1	7q36.1	present at least in one case	present at least in one case
213367_at	LOC155060	7q36.1	present at least in one case	present at least in one case
225909_at	LOC155036	7q36.1	present at least in one case	present at least in one case
228226_s_at	MGC33584	7q36.1	present at least in one case	present at least in one case
228071_at	hIAN7	7q36.1	present at least in one case	present at least in one case
221876_at	DKFZp762P2111	7q36.1	present at least in one case	present at least in one case
219243_at	HIMAP4	7q36.1	present at least in one case	present at least in one case
235306_at	DKFZp667I133	7q36.1	present at least in one case	present at least in one case
207598_x_at	XRCC2	7q36.1	present at least in one case	present at least in one case
229367_s_at	hIAN2	7q36.1	present at least in one case	present at least in one case
219777_at	hIAN2	7q36.1	present at least in one case	present at least in one case
78495_at	DKFZp762P2111	7q36.1	present at least in one case	present at least in one case
228899_at	CUL1	7q36.1	present at least in one case	present at least in one case
219627_at	FLJ12700	7q36.1	present at least in one case	present at least in one case
225789_at	CENTG3	7q36.1	present at least in one case	present at least in one case
226202_at	ZNF398	7q36.1	present at least in one case	present at least in one case
64064_at	IAN4L1	7q36.1	present at least in one case	present at least in one case
228145_s_at	ZNF398	7q36.1	present at least in one case	present at least in one case
203985_at	ZNF212	7q36.1	present at least in one case	present at least in one case
221799_at	CSGlcA-T	7q36.1	present at least in one case	present at least in one case
213587_s_at	LOC155066	7q36.1	present at least in one case	present at least in one case
220532_s_at	LR8	7q36.1	present at least in one case	present at least in one case
218345_at	HCA112	7q36.1	present at least in one case	present at least in one case
207614_s_at	CUL1	7q36.1	present at least in one case	present at least in one case
232024_at	HIMAP2	7q36.1	present at least in one case	present at least in one case
225848_at	FLJ31413	7q36.1	present at least in one case	present at least in one case
55093_at	CSGlcA-T	7q36.1	present at least in one case	present at least in one case
219041_s_at	RIP60	7q36.1	present at least in one case	present at least in one case
209496_at	RARRES2	7q36.1	absent in all cases	absent in all cases
213444_at	KIAA0543	7q36.1	absent in all cases	absent in all cases
215352_at	IAN4L1	7q36.1	absent in all cases	absent in all cases
221362_at	HTR5A	7q36.1	absent in all cases	absent in all cases
225907_at	LOC155036	7q36.1	absent in all cases	absent in all cases
226983_at	KIAA1285	7q36.1	absent in all cases	absent in all cases
228294_s_at	MGC33584	7q36.1	absent in all cases	absent in all cases
228687_at	KIAA1285	7q36.1	absent in all cases	absent in all cases
229094_at	LOC155066	7q36.1	absent in all cases	absent in all cases
229931_at	MGC33584	7q36.1	absent in all cases	absent in all cases
230517_at	LOC155036	7q36.1	absent in all cases	absent in all cases
231299_at	CENTG3	7q36.1	absent in all cases	absent in all cases
233150_at	LOC168391	7q36.1	absent in all cases	absent in all cases
235565_at	LOC155054	7q36.1	absent in all cases	absent in all cases
239026_x_at	CENTG3	7q36.1	absent in all cases	absent in all cases
240646_at	DKFZp667I133	7q36.1	absent in all cases	absent in all cases
242684_at	LOC155054	7q36.1	absent in all cases	absent in all cases
207789_s_at	DPP6	7q36.2	present at least in one case	present at least in one case
228546_at	DPP6	7q36.2	absent in all cases	absent in all cases
219251_s_at	FLJ10300	7q36.3	present at least in one case	absent in all cases
228623_at	DNAJB6	7q36.3	present at least in one case	present at least in one case
231834_at	MGC20460	7q36.3	present at least in one case	present at least in one case
227161_at	C7orf3	7q36.3	present at least in one case	present at least in one case
231833_at	MGC20460	7q36.3	present at least in one case	present at least in one case
225839_at	LOC155435	7q36.3	present at least in one case	present at least in one case
238801_at	LOC155435	7q36.3	present at least in one case	present at least in one case
209015_s_at	DNAJB6	7q36.3	present at least in one case	present at least in one case
235587_at	LOC202781	7q36.3	present at least in one case	present at least in one case
201817_at	KIAA0010	7q36.3	present at least in one case	present at least in one case
219588_s_at	FLJ20311	7q36.3	present at least in one case	present at least in one case
208811_s_at	DNAJB6	7q36.3	present at least in one case	present at least in one case
208810_at	DNAJB6	7q36.3	present at least in one case	present at least in one case
226732_at	LOC155435	7q36.3	present at least in one case	present at least in one case
224698_at	KIAA1228	7q36.3	present at least in one case	present at least in one case
224699_s_at	KIAA1228	7q36.3	present at least in one case	present at least in one case
205946_at	VIPR2	7q36.3	absent in all cases	absent in all cases
205947_s_at	VIPR2	7q36.3	absent in all cases	absent in all cases
229008_at	FLJ10300	7q36.3	absent in all cases	absent in all cases
243519_at	KIAA0010	7q36.3	absent in all cases	absent in all cases
