Unique id	Gene symbol	GeneBank accession	P-value (BRCA1 pools vs BRCA2 vs BRCAX pools)	P-value (Treated vs non-treated BRCA1/2/X pools)	P-value (Treated vs non-treated healthy control pools)
450327	OAS2	NM_001032731.1	NS	0.0000844	NS
6370341	DSCR1	NM_203417.1	NS	0.0000852	NS
5080711	MGC52000	NM_198943.1	NS	0.0000853	NS
3440139	SNX26	NM_052948.2	NS	0.0000858	NS
1580433	HYPE	NM_007076.2	NS	0.000087	NS
1500202	UBLCP1	NM_145049.1	NS	0.0000877	NS
6400221	MAP3K7IP1	NM_153497.2	NS	0.0000877	NS
4920189	LTV1	NM_032860.3	NS	0.0000883	NS
270092	SMYD3	NM_022743.1	NS	0.0000907	NS
770239	DHDDS	NM_024887.2	NS	0.0000908	NS
4120270	YOD1	NM_018566.3	NS	0.0000911	NS
460445	AMT	NM_000481.2	NS	0.0000923	NS
5890241	HNRPA0	NM_006805.3	NS	0.0000925	NS
50292	C1orf124	NM_032018.4	NS	0.0000945	NS
5960184	EDNRB	NM_003991.1	NS	0.0000948	NS
4040315	UTP14A	NM_006649.2	NS	0.0000964	NS
10215	CD86	NM_175862.2	NS	0.0000973	NS
3940458	PYHIN1	NM_198929.2	NS	0.0000988	NS
6560088	HLA-DOA	NM_002119.3	NS	0.000099	NS
5390056	BCKDK	NM_005881.1	NS	0.0001005	NS
5860020	CAMKK2	NM_172215.1	NS	0.0001006	NS
990202	FLJ10560	NM_018138.1	NS	0.0001017	NS
620220	SLC16A6	NM_004694.2	NS	0.0001022	NS
2100333	CD96	NM_198196.1	NS	0.0001024	NS
3520561	TRNT1	NM_182916.1	NS	0.0001046	NS
380068	RNF34	NM_025126.2	NS	0.0001049	NS
5390064	HCCS	NM_005333.2	NS	0.0001052	NS
2350377	PRIC285	NM_033405.2	NS	0.0001058	NS
20181	SBDS	NM_016038.2	NS	0.0001066	NS
4480377	WDR4	NM_018669.4	NS	0.0001068	NS
20408	FLJ45909	NM_198445.1	NS	0.0001087	NS
6370326	GNA15	NM_002068.1	NS	0.00011	NS
7100605	TOE1	NM_025077.2	NS	0.0001108	NS
7330114	C17orf38	NM_001010855.1	NS	0.0001119	NS
5050095	ACSS2	NM_139274.1	NS	0.0001129	NS
6510041	AP3S1	NM_001284.2	NS	0.0001133	NS
2570379	PTPRC	NM_080922.1	NS	0.0001138	NS
3940731	OAS1	NM_001032409.1	NS	0.0001138	NS
10070	EMILIN2	NM_032048.2	NS	0.0001147	NS
6770619	RNPS1	NM_006711.2	NS	0.0001153	NS
270603	AMACR	NM_014324.4	NS	0.0001159	NS
2680326	PIGM	NM_145167.1	NS	0.0001159	NS
2000634	LRRFIP2	NM_017724.1	NS	0.0001162	NS
2470341	SNX22	NM_024798.2	NS	0.0001164	NS
4390706	RNMT	NM_003799.1	NS	0.000117	NS
1300670	SCHIP1	NM_014575.1	NS	0.0001187	NS
5490301	MGLL	NM_007283.5	NS	0.0001194	NS
630239	NOLC1	NM_004741.1	NS	0.00012	NS
6760286	UBR2	NM_015255.1	NS	0.0001209	NS
430338	ACTA2	NM_001613.1	NS	0.0001217	NS
6760326	SPARC	NM_003118.2	NS	0.0001217	NS
650390	WDR12	NM_018256.2	NS	0.0001224	NS
6900204	ZFP36	NM_003407.1	NS	0.0001224	NS
2260435	PHYH	NM_006214.2	NS	0.0001231	NS
4210427	SLAMF6	NM_052931.3	NS	0.0001231	NS
3800746	FAM100A	NM_145253.1	NS	0.0001239	NS
5820612	GAS2	NM_177553.1	NS	0.0001246	NS
6020164	PSMD7	NM_002811.3	NS	0.0001252	NS
3290341	ZGPAT	NM_032527.2	NS	0.0001253	NS
7050678	MAPKAPK5	NM_139078.1	NS	0.0001262	NS
3830424	IL17D	NM_138284.1	NS	0.0001272	NS
6650040	COG4	NM_015386.1	NS	0.0001293	NS
5310184	FGD3	NM_033086.1	NS	0.0001298	NS
7400634	SAP30BP	NM_013260.5	NS	0.0001304	NS
3290296	ANKDD1A	NM_182703.2	NS	0.0001306	NS
5550424	CDC2L6	NM_015076.3	NS	0.0001306	NS
460326	E4F1	NM_004424.3	NS	0.000131	NS
540241	TNFSF12	NM_003809.2	NS	0.0001311	NS
6370209	MYLIP	NM_013262.3	NS	0.000132	NS
3710487	CUTC	NM_015960.1	NS	0.0001355	NS
3180133	SEPX1	NM_016332.2	NS	0.0001358	NS
4480324	SLC5A6	NM_021095.1	NS	0.000136	NS
6620100	SCD	NM_005063.4	NS	0.000137	NS
7330037	SETD6	NM_024860.1	NS	0.0001378	NS
3830184	TP53I13	NM_138349.2	NS	0.0001391	NS
5360441	BIVM	NM_017693.2	NS	0.0001393	NS
650019	PGD	NM_002631.2	NS	0.0001403	NS
6350553	MSC	NM_005098.2	NS	0.0001404	NS
380736	C4orf9	NM_003703.1	NS	0.0001424	NS
360341	C9orf111	NM_152286.2	NS	0.0001433	NS
2640193	PGBD2	NM_170725.2	NS	0.0001443	NS
630600	TMEM50B	NM_006134.4	NS	0.0001449	NS
1170095	NFYB	NM_006166.3	NS	0.0001451	NS
3310026	PPIF	NM_005729.3	NS	0.0001454	NS
7100220	TTC5	NM_138376.1	NS	0.0001495	NS
4480326	PEX11B	NM_003846.1	NS	0.0001496	NS
1300768	AKR1A1	NM_006066.2	NS	0.0001511	NS
3710131	CMIP	NM_030629.1	NS	0.0001524	NS
1260669	NPHP3	NM_153240.3	NS	0.0001526	NS
3400196	DHX34	NM_194428.1	NS	0.0001529	NS
6510707	C1orf171	NM_138467.1	NS	0.000153	NS
5290307	KMO	NM_003679.2	NS	0.0001536	NS
60162	BCL2L1	NM_138578.1	NS	0.0001547	NS
6200280	ETF1	NM_004730.1	NS	0.000156	NS
2650167	FLJ10986	NM_018291.2	NS	0.0001563	NS
3360246	TMEM51	NM_018022.1	NS	0.0001593	NS
1410142	ABHD14B	NM_032750.1	NS	0.0001599	NS
5340367	VPS4A	NM_013245.2	NS	0.0001607	NS
3520296	MTRR	NM_002454.1	NS	0.0001615	NS
7200356	MXI1	NM_001008541.1	NS	0.0001676	NS
3440411	HSPA1B	NM_005346.3	NS	0.0001681	NS
1340681	PSIP1	NM_021144.2	NS	0.0001682	NS
2510731	NETO2	NM_018092.3	NS	0.0001684	NS
7550021	CD300A	NM_007261.2	NS	0.0001701	NS
2750484	C1orf128	NM_020362.2	NS	0.0001702	NS
1940519	DGAT2	NM_032564.2	NS	0.0001716	NS
3290019	ZBTB9	NM_152735.3	NS	0.0001726	NS
7400653	GCLC	NM_001498.2	NS	0.000173	NS
6980037	MS4A1	NM_152866.2	NS	0.0001737	NS
2070441	PAK1IP1	NM_017906.2	NS	0.0001755	NS
3450075	CEP135	NM_025009.3	NS	0.0001762	NS
3180372	PRPF4B	NM_176800.1	NS	0.0001766	NS
5550053	OXTR	NM_000916.3	NS	0.0001766	NS
5260639	COQ5	NM_032314.2	NS	0.0001789	NS
610762	PRPF4	NM_004697.3	NS	0.0001806	NS
1230400	CATSPER2	NM_172097.1	NS	0.0001807	NS
6290025	POLR2C	NM_032940.1	NS	0.0001808	NS
1770646	POGK	NM_017542.3	NS	0.000184	NS
5090703	TBL2	NM_032988.1	NS	0.0001858	NS
4040634	MTR	NM_000254.1	NS	0.0001864	NS
2760563	EIF2B1	NM_001414.2	NS	0.0001873	NS
1050064	C9orf127	NM_016446.2	NS	0.0001922	NS
4880451	C14orf93	NM_021944.1	NS	0.0001949	NS
7610273	FLJ14668	NM_032822.1	NS	0.000195	NS
4070138	GNL3	NM_014366.4	NS	0.0001959	NS
6060364	JOSD3	NM_024116.1	NS	0.0001963	NS
70471	RBM13	NM_032509.2	NS	0.0001975	NS
7100296	C6orf204	NM_206921.1	NS	0.0001975	NS
1110300	HPRT1	NM_000194.1	NS	0.0001984	NS
1690709	NUDT18	NM_024815.2	NS	0.0001987	NS
5900180	SIPA1	NM_153253.28	NS	0.0001988	NS
5420215	SAMD9L	NM_152703.2	NS	0.0001989	NS
5810487	LOC340061	NM_198282.1	NS	0.0002001	NS
6060220	CD72	NM_001782.1	NS	0.000201	NS
2340291	CHI3L2	NM_001025199.1	NS	0.0002017	NS
4390367	CLN6	NM_017882.1	NS	0.0002033	NS
6520228	SF4	NM_021164.2	NS	0.0002053	NS
4200315	NFE2L1	NM_003204.1	NS	0.0002078	NS
3780326	GBP2	NM_004120.3	NS	0.0002083	NS
5870731	MRPS16	NM_016065.3	NS	0.000211	NS
6510619	ATP6V1E2	NM_080653.3	NS	0.0002119	NS
2370494	GABPB2	NM_181427.2	NS	0.0002127	NS
5560050	C9orf6	NM_017832.2	NS	0.0002131	NS
6180142	TMEM44	NM_138399.3	NS	0.0002141	NS
4480088	COPS3	NM_003653.2	NS	0.0002156	NS
1440202	PB1	NM_181042.1	NS	0.0002158	NS
1710477	IDH2	NM_002168.2	NS	0.0002169	NS
3850301	LOC123688	NM_001013619.1	NS	0.0002177	NS
4050437	LILRA2	NM_006866.1	NS	0.0002211	NS
3460204	LOC54103	NM_017439.1	NS	0.0002215	NS
6650477	TAF1A	NM_005681.2	NS	0.0002238	NS
4570377	ABCG1	NM_004915.3	NS	0.0002246	NS
620445	VGLL4	NM_014667.1	NS	0.0002283	NS
7100136	SLC36A1	NM_078483.2	NS	0.0002302	NS
50528	FLJ40629	NM_152515.2	NS	0.0002321	NS
2190369	PRPF3	NM_004698.1	NS	0.0002353	NS
670735	MBNL3	NM_133486.1	NS	0.0002359	NS
1260685	LOC132321	NM_173487.1	NS	0.0002362	NS
7210286	MYB	NM_005375.2	NS	0.0002379	NS
4230020	RBM15B	NM_013286.3	NS	0.00024	NS
1510736	TXNDC12	NM_015913.2	NS	0.0002402	NS
2320753	MYH10	NM_005964.1	NS	0.0002403	NS
5900653	TIMM22	NM_013337.2	NS	0.0002409	NS
4540424	EPHX2	NM_001979.4	NS	0.0002422	NS
4590221	GTSE1	NM_016426.4	NS	0.0002422	NS
1440433	BXDC2	NM_018321.3	NS	0.0002428	NS
6400189	TMEM50A	NM_014313.2	NS	0.0002453	NS
4070601	TMEM5	NM_014254.1	NS	0.000247	NS
6520082	MOSPD1	NM_019556.1	NS	0.0002483	NS
1740133	RBBP5	NM_005057.2	NS	0.0002493	NS
5690500	RGS2	NM_002923.1	NS	0.0002504	NS
610465	KIF1B	NM_015074.2	NS	0.0002506	NS
830725	SOX4	NM_003107.2	NS	0.0002509	NS
1070187	DHX33	NM_020162.2	NS	0.0002559	NS
780373	FDXR	NM_024417.1	NS	0.000256	NS
3830370	TMEM88	NM_203411.1	NS	0.0002573	NS
1410600	IDS	NM_006123.1	NS	0.0002583	NS
5860341	ENTPD7	NM_020354.2	NS	0.000261	NS
6580397	CAT	NM_001752.2	NS	0.000263	NS
5570523	RASSF2	NM_170773.1	NS	0.0002635	NS
4250551	NEUROG2	NM_024019.2	NS	0.0002669	NS
10204	ATG16L2	NM_033388.1	NS	0.0002701	NS
1010750	POLR3E	NM_018119.2	NS	0.0002701	NS
2100743	SIRT5	NM_012241.2	NS	0.0002702	NS
4860021	FLJ40142	NM_207435.1	NS	0.0002703	NS
3840064	NAALADL1	NM_005468.2	NS	0.0002718	NS
1260100	MFGE8	NM_005928.1	NS	0.0002722	NS
2900753	C7orf26	NM_024067.2	NS	0.0002741	NS
6020523	KLHDC3	NM_057161.2	NS	0.0002755	NS
2350358	BCL2L1	NM_138578.1	NS	0.0002772	NS
830341	C18orf10	NM_015476.2	NS	0.0002782	NS
1030059	HLXB9	NM_005515.2	NS	0.0002782	NS
3870204	ACTR8	NM_022899.3	NS	0.0002783	NS
1410307	SLC27A3	NM_024330.1	NS	0.0002807	NS
7200431	RUNDC2A	NM_032167.1	NS	0.000281	NS
7330377	KPNA2	NM_002266.2	NS	0.0002822	NS
940068	TUBG2	NM_016437.1	NS	0.0002827	NS
3440093	RCL1	NM_005772.2	NS	0.0002852	NS
780086	PECI	NM_006117.2	NS	0.0002853	NS
3870754	FBXO28	NM_015176.1	NS	0.0002854	NS
2450450	STX16	NM_003763.3	NS	0.0002875	NS
150040	GMDS	NM_001500.2	NS	0.0002915	NS
3610390	JARID1B	NM_006618.3	NS	0.0002939	NS
7550088	DNAJC15	NM_013238.2	NS	0.0002956	NS
3180376	ACP6	NM_016361.2	NS	0.0002959	NS
5310274	MR1	NM_001531.1	NS	0.0002975	NS
780634	OBFC1	NM_024928.3	NS	0.000299	NS
4760450	PARP3	NM_001003931.1	NS	0.0002991	NS
4260402	RAD51L1	NM_133509.2	NS	0.0003008	NS
6040039	SFXN3	NM_030971.3	NS	0.0003017	NS
1440050	HBLD2	NM_030940.3	NS	0.0003018	NS
5290563	NDUFC2	NM_004549.3	NS	0.0003026	NS
1190066	KIAA1797	NM_017794.2	NS	0.0003048	NS
1010333	LOC51149	NM_001017987.2	NS	0.0003065	NS
4850184	STK11	NM_000455.4	NS	0.0003066	NS
1030189	EPB41L2	NM_001431.1	NS	0.000307	NS
2760398	NMT2	NM_004808.1	NS	0.0003073	NS
650279	ALKBH	NM_006020.1	NS	0.0003085	NS
4920687	CXXC4	NM_025212.1	NS	0.0003091	NS
1090482	DKFZP564J102	NM_015398.1	NS	0.0003094	NS
1570132	AUH	NM_001698.1	NS	0.0003115	NS
870021	LOC113444	NM_138428.2	NS	0.0003128	NS
6420086	DNAJA1	NM_001539.2	NS	0.0003133	NS
5550114	S100PBP	NM_001017406.1	NS	0.0003166	NS
6860201	MAP2K5	NM_002757.2	NS	0.0003196	NS
240440	SLC25A36	NM_018155.1	NS	0.0003216	NS
1230026	PRMT6	NM_018137.1	NS	0.0003239	NS
5900477	MGC15875	NM_032921.1	NS	0.000324	NS
130192	ACSM3	NM_005622.3	NS	0.0003256	NS
2570482	NARS	NM_004539.2	NS	0.0003257	NS
4860048	PHACS	NM_032592.1	NS	0.0003304	NS
6840121	STIP1	NM_006819.1	NS	0.0003324	NS
610341	FUT4	NM_002033.2	NS	0.0003342	NS
2690358	STOML1	NM_004809.3	NS	0.0003344	NS
4290465	MGC24665	NM_152308.1	NS	0.0003381	NS
3180682	FAM100B	NM_182565.2	NS	0.0003421	NS
3440156	ARPC1A	NM_006409.2	NS	0.0003438	NS
4830403	SLC26A6	NM_134426.1	NS	0.0003444	NS
2680161	CCT6B	NM_006584.2	NS	0.0003447	NS
5340403	FLJ31413	NM_152557.3	NS	0.0003457	NS
5050402	SUPT3H	NM_003599.1	NS	0.0003471	NS
450703	MGC15407	NM_080667.3	NS	0.0003492	NS
7000674	ATP2A2	NM_170665.2	NS	0.0003496	NS
2190382	RC74	NM_018250.1	NS	0.0003503	NS
5890717	SUSD3	NM_145006.2	NS	0.0003513	NS
6280543	JMJD4	NM_023007.1	NS	0.0003515	NS
5390239	FLJ13984	NM_024770.1	NS	0.0003532	NS
6770053	WDR57	NM_004814.1	NS	0.0003533	NS
6520605	MGC17330	NM_052880.3	NS	0.0003556	NS
6560091	RIPK1	NM_003804.3	NS	0.0003559	NS
6560255	C1orf181	NM_017953.2	NS	0.0003573	NS
3130056	TIMM23	NM_006327.2	NS	0.0003582	NS
510603	RRN3	NM_018427.2	NS	0.0003592	NS
7150008	EPHB1	NM_004441.3	NS	0.0003622	NS
4780743	EWSR1	NM_005243.1	NS	0.0003663	NS
20136	MRPL15	NM_014175.2	NS	0.0003667	NS
510528	VEGF	NM_001025366.1	NS	0.0003682	NS
1850468	FLJ10922	NM_018273.2	NS	0.0003692	NS
380349	SERPINE2	NM_006216.2	NS	0.00037	NS
2650390	PLCG1	NM_002660.2	NS	0.0003717	NS
6660437	ACAA2	NM_006111.1	NS	0.0003718	NS
6290209	AKAP1	NM_003488.2	NS	0.0003737	NS
1240053	PPIL1	NM_016059.3	NS	0.0003791	NS
6620014	RBM4	NM_002896.1	NS	0.0003799	NS
2000482	C21orf7	NM_020152.2	NS	0.0003803	NS
6620025	NGLY1	NM_018297.2	NS	0.0003814	NS
5260240	C10orf22	NM_032804.5	NS	0.0003847	NS
3610112	RIT1	NM_006912.3	NS	0.0003858	NS
380315	TXNDC14	NM_015959.1	NS	0.0003871	NS
6380112	MAP3K14	NM_003954.1	NS	0.0003906	NS
2340338	TAX1BP1	NM_006024.4	NS	0.0003921	NS
1430156	XTP3TPA	NM_024096.1	NS	0.0003932	NS
6520634	CLPTM1	NM_001294.1	NS	0.000394	NS
1450301	NEK6	NM_014397.3	NS	0.0003951	NS
10424	AP1B1	NM_001127.2	NS	0.0003954	NS
1170128	C3orf23	NM_001029839.1	NS	0.0003968	NS
6130725	C5orf13	NM_004772.1	NS	0.0003983	NS
2140221	PRO1853	NM_144736.3	NS	0.0003986	NS
3290136	DNAJC11	NM_018198.1	NS	0.000402	NS
4250228	MRPL35	NM_145644.1	NS	0.0004028	NS
670470	LRP5L	NM_182492.1	NS	0.0004031	NS
1260463	MCM6	NM_005915.4	NS	0.0004031	NS
6380538	ANGPTL6	NM_031917.2	NS	0.0004055	NS
4150341	UBE2J2	NM_194457.1	NS	0.0004057	NS
630309	JMJD1A	NM_018433.3	NS	0.000406	NS
5890338	C8orf58	NM_001013842.1	NS	0.0004077	NS
2340553	KIAA0133	NM_014777.1	NS	0.0004079	NS
3370471	EIF2AK4	NM_001013703.2	NS	0.0004086	NS
4260070	CDKN2D	NM_001800.3	NS	0.0004117	NS
7400291	PHF22	NM_020395.2	NS	0.0004134	NS
5340129	NUP35	NM_138285.3	NS	0.0004158	NS
1240564	TRAPPC2	NM_001011658.1	NS	0.0004159	NS
5050370	C9orf88	NM_022833.2	NS	0.0004177	NS
3310451	H1FX	NM_006026.2	NS	0.0004179	NS
6200458	NPNT	NM_001033047.1	NS	0.000424	NS
630450	IFIT2	NM_001547.3	NS	0.0004257	NS
4610546	EIF1AX	NM_001412.3	NS	0.0004268	NS
1300100	SLC25A37	NM_016612.1	NS	0.0004275	NS
380504	GHITM	NM_014394.1	NS	0.0004326	NS
6020703	LOC283932	NM_175901.3	NS	0.0004327	NS
130553	SCAP1	NM_003726.2	NS	0.0004366	NS
2570286	KBTBD8	NM_032505.1	NS	0.000437	NS
6220242	PGAM1	NM_002629.2	NS	0.0004459	NS
5670437	TSR1	NM_018128.4	NS	0.00045	NS
2070195	KLHL15	NM_030624.1	NS	0.000451	NS
7560162	CA5B	NM_007220.2	NS	0.0004513	NS
1740139	RPP14	NM_007042.1	NS	0.0004523	NS
3830021	TMEM1	NM_001001723.1	NS	0.0004555	NS
3930546	C6orf32	NM_015864.2	NS	0.0004662	NS
6590736	SRC	NM_005417.3	NS	0.0004662	NS
4860452	TSPAN9	NM_006675.3	NS	0.0004694	NS
5890477	FANCL	NM_018062.2	NS	0.0004694	NS
4640528	TRAF3IP3	NM_025228.1	NS	0.0004707	NS
50156	LAMP1	NM_005561.2	NS	0.0004734	NS
450544	DUSP3	NM_004090.2	NS	0.0004736	NS
3990364	CEBPG	NM_001806.2	NS	0.000474	NS
1050315	OBFC2A	NM_022837.1	NS	0.0004771	NS
5890022	MPHOSPH10	NM_005791.1	NS	0.0004842	NS
1010424	C5	NM_001735.2	NS	0.0004895	NS
1030070	GSTM4	NM_147148.1	NS	0.0004896	NS
4890431	LRCH4	NM_002319.2	NS	0.0004903	NS
6060754	PTK2	NM_153831.2	NS	0.0004904	NS
4560474	C6orf72	NM_138785.1	NS	0.0004914	NS
6350273	LMBR1L	NM_018113.1	NS	0.000493	NS
5560204	GABBR1	NM_021905.1	NS	0.0004949	NS
4220669	PRCP	NM_199418.1	NS	0.0004953	NS
3940338	E2F1	NM_005225.1	NS	0.0004956	NS
430609	TPST2	NM_001008566.1	NS	0.0004964	NS
6590753	ZNF425	NM_001001661.1	NS	0.0004974	NS
6040358	ATF5	NM_012068.2	NS	0.0005022	NS
1190202	TNFRSF9	NM_001561.4	NS	0.0005048	NS
1470176	TUBB2B	NM_178012.3	NS	0.0005058	NS
5130017	STK3	NM_006281.1	NS	0.0005059	NS
6270451	FGFR1	NM_023110.1	NS	0.0005088	NS
5910386	FAM13A1	NM_014883.2	NS	0.0005098	NS
5670301	37681	NM_178450.2	NS	0.0005107	NS
1570364	SLC35B1	NM_005827.1	NS	0.0005108	NS
840687	NAT6	NM_012191.2	NS	0.0005109	NS
770397	SHQ1	NM_018130.2	NS	0.0005118	NS
4900129	GALK2	NM_002044.2	NS	0.0005125	NS
6480593	KIAA0020	NM_014878.3	NS	0.0005125	NS
730040	P2RX5	NM_175081.1	NS	0.0005137	NS
1770193	PSMD3	NM_002809.2	NS	0.0005137	NS
3780689	NT5C3	NM_016489.11	NS	0.000515	NS
7160390	GAPDH	NM_002046.2	NS	0.0005168	NS
4070367	MAPK13	NM_002754.3	NS	0.0005173	NS
4810736	PECR	NM_018441.2	NS	0.0005185	NS
6560349	PI4KII	NM_018425.2	NS	0.0005228	NS
5080187	SPRYD3	NM_032840.1	NS	0.000525	NS
3180347	GART	NM_175085.1	NS	0.0005293	NS
2690097	KIAA1826	NM_032424.1	NS	0.0005309	NS
6350768	C14orf126	NM_080664.1	NS	0.0005332	NS
1260047	TRIM5	NM_033092.1	NS	0.0005364	NS
4280750	TSPAN4	NM_001025235.1	NS	0.0005399	NS
5900671	C1orf24	NM_052966.1	NS	0.0005418	NS
5700403	WDR54	NM_032118.2	NS	0.0005422	NS
2030450	EML2	NM_012155.1	NS	0.0005473	NS
2360386	ALDH7A1	NM_001182.2	NS	0.0005489	NS
6350241	ZNF358	NM_018083.3	NS	0.0005496	NS
7380612	RBM3	NM_001017430.1	NS	0.0005498	NS
1090707	RNF121	NM_018320.3	NS	0.0005523	NS
5270056	FBXO11	NM_018693.2	NS	0.0005568	NS
3610671	ALG1	NM_019109.3	NS	0.0005589	NS
5260204	TBC1D10C	NM_198517.2	NS	0.0005589	NS
3990243	RQCD1	NM_005444.1	NS	0.0005592	NS
4890193	NAPRT1	NM_145201.3	NS	0.0005602	NS
430553	RBPSUH	NM_203284.1	NS	0.0005605	NS
1690189	HSPA8	NM_153201.1	NS	0.0005633	NS
3840138	CNKSR3	NM_173515.2	NS	0.0005659	NS
4780037	PLD3	NM_001031696.1	NS	0.0005661	NS
4060204	SNX11	NM_152244.1	NS	0.0005688	NS
290762	TMEM9	NM_016456.2	NS	0.0005719	NS
7400497	TRIP11	NM_004239.1	NS	0.0005723	NS
3460224	SLC1A5	NM_005628.1	NS	0.0005743	NS
940368	TCHP	NM_032300.2	NS	0.0005744	NS
6020768	LCP2	NM_005565.3	NS	0.0005765	NS
5310131	RNASET2	NM_003730.3	NS	0.0005815	NS
6200768	TICAM2	NM_021649.3	NS	0.0005827	NS
3990091	ZNF34	NM_030580.2	NS	0.0005834	NS
6100044	SEC23IP	NM_007190.2	NS	0.0005905	NS
4490129	SQRDL	NM_021199.2	NS	0.0005916	NS
5810477	BRWD3	NM_153252.2	NS	0.0005916	NS
4540010	C20orf103	NM_012261.2	NS	0.0005925	NS
5270619	FLJ21103	NM_024556.1	NS	0.0005926	NS
7400341	PSMD1	NM_002807.2	NS	0.0005929	NS
2510639	UBE2Z	NM_023079.2	NS	0.0005944	NS
1010538	KIAA0182	NM_014615.1	NS	0.0005986	NS
6620070	PAQR3	NM_177453.2	NS	0.0006103	NS
5490041	FKSG44	NM_031904.2	NS	0.0006114	NS
3420356	RGS1	NM_002922.3	NS	0.000614	NS
4280520	MARS	NM_004990.2	NS	0.0006153	NS
2760592	ABHD6	NM_020676.4	NS	0.0006156	NS
2070332	CD38	NM_001775.2	NS	0.0006201	NS
3290014	PSMA7	NM_152255.1	NS	0.000625	NS
4260215	WDR8	NM_017818.2	NS	0.0006253	NS
3310136	KIAA0971	NM_014929.2	NS	0.0006291	NS
1050593	VAMP4	NM_003762.2	NS	0.0006332	NS
6550554	LOC129138	NM_138797.1	NS	0.0006352	NS
1340170	RAFTLIN	NM_015150.1	NS	0.0006376	NS
2480328	SLC25A17	NM_006358.2	NS	0.0006388	NS
6420762	MARS2	NM_138395.2	NS	0.0006413	NS
5560441	CPSF2	NM_017437.1	NS	0.0006425	NS
1090669	SLC2A8	NM_014580.3	NS	0.0006498	NS
4570739	TNFRSF11B	NM_002546.2	NS	0.00065	NS
5260575	DSU	NM_018000.1	NS	0.0006518	NS
7380139	POP1	NM_015029.1	NS	0.0006518	NS
6450086	GNB5	NM_006578.3	NS	0.0006557	NS
5820142	SRP46	NM_032102.1	NS	0.0006571	NS
4050500	HYOU1	NM_006389.2	NS	0.0006644	NS
6250414	DDX31	NM_022779.7	NS	0.0006657	NS
5670129	LIG4	NM_002312.3	NS	0.0006677	NS
510053	PRPSAP1	NM_002766.1	NS	0.0006723	NS
1450400	CHI3L2	NM_004000.2	NS	0.0006785	NS
1710095	CHRNA5	NM_000745.2	NS	0.0006786	NS
1430762	IRAK3	NM_007199.1	NS	0.0006805	NS
110706	CTBS	NM_004388.1	NS	0.0006895	NS
4610167	ZBTB4	NM_020899.2	NS	0.0006895	NS
610471	CRR9	NM_030782.2	NS	0.0006929	NS
6040008	IQGAP2	NM_006633.1	NS	0.0006933	NS
4810204	CYSLTR1	NM_006639.2	NS	0.0006952	NS
1240201	GMPR2	NM_001002002.1	NS	0.0006962	NS
1440470	TMEM106C	NM_024056.2	NS	0.0006983	NS
7160528	MAEA	NM_001017405.1	NS	0.0006985	NS
5340010	PURB	NM_033224.3	NS	0.0007014	NS
2450646	MTIF2	NM_002453.2	NS	0.000708	NS
4050735	PSPH	NM_004577.3	NS	0.0007119	NS
540632	FAM105B	NM_138348.3	NS	0.0007122	NS
520475	UPF3B	NM_080632.1	NS	0.0007132	NS
150543	LIMA1	NM_016357.3	NS	0.0007135	NS
2450615	TFAM	NM_003201.1	NS	0.0007159	NS
6770017	B3GALT4	NM_003782.3	NS	0.000717	NS
3940541	C2orf18	NM_017877.2	NS	0.0007176	NS
450184	ESRRG	NM_206594.1	NS	0.00072	NS
6280333	MLLT11	NM_006818.3	NS	0.0007207	NS
6200746	TMEM101	NM_032376.2	NS	0.0007214	NS
610528	WBSCR18	NM_032317.2	NS	0.0007242	NS
1300246	TP53BP2	NM_001031685.1	NS	0.0007246	NS
360600	ZSCAN2	NM_181877.3	NS	0.0007285	NS
2760148	WDR75	NM_032168.1	NS	0.0007309	NS
670634	PSTPIP1	NM_003978.2	NS	0.0007356	NS
730017	TTF2	NM_003594.3	NS	0.0007356	NS
5220075	MGC5297	NM_024091.2	NS	0.0007427	NS
130364	FAM65A	NM_024519.2	NS	0.0007452	NS
4730008	SLC5A11	NM_052944.2	NS	0.0007457	NS
4590364	EI24	NM_004879.3	NS	0.0007463	NS
2340215	FANCE	NM_021922.2	NS	0.000752	NS
6290097	SAT	NM_002970.1	NS	0.0007529	NS
4540047	WBSCR1	NM_022170.1	NS	0.0007548	NS
2470521	FZD2	NM_001466.2	NS	0.0007606	NS
6560612	DPH1	NM_001383.2	NS	0.0007618	NS
4210056	TNFAIP2	NM_006291.2	NS	0.0007639	NS
4280463	RTN3	NM_006054.2	NS	0.0007704	NS
2230129	TMLHE	NM_018196.1	NS	0.0007707	NS
1770411	RPS6KB1	NM_003161.2	NS	0.0007709	NS
2510400	FLJ31204	NM_174912.2	NS	0.0007792	NS
60044	DEF6	NM_022047.2	NS	0.0007798	NS
7610762	DNAJB12	NM_001002762.1	NS	0.0007854	NS
2680673	CYB5D1	NM_144607.2	NS	0.0007869	NS
990435	TP53INP2	NM_021202.1	NS	0.0007889	NS
6020170	ALKBH8	NM_138775.1	NS	0.0007934	NS
2600427	NBEA	NM_015678.3	NS	0.0007943	NS
670521	METTL2B	NM_018396.1	NS	0.0007945	NS
3830047	SNX3	NM_152828.2	NS	0.0008031	NS
5910239	PPOX	NM_000309.2	NS	0.0008068	NS
2710093	SEC22L3	NM_032970.2	NS	0.0008076	NS
650152	GPR146	NM_138445.2	NS	0.0008077	NS
3310376	DKFZp686O24166	NM_001009913.1	NS	0.0008085	NS
